writer_id,age,gender,race,education,income
60e5ae8ce6c1ff9589129bbb,37,Female,White,Postgraduate degree (Master's),"£25,000-£34,999"
6813748dd0026c996aceae01,27,Male,White,Postgraduate degree (Master's),"£15,000-£24,999"
5f4e389555e3b9b30666d8cf,40,Female,White,Undergraduate degree,Prefer not to say
60375d67dde85cad87f3c99d,77,Female,White,Undergraduate degree,"£15,000-£24,999"
5eec48a2a0a86044492efa67,26,Male,White,A-levels or equivalent,"Under £15,000"
675330fb23080b9ae3ec8239,38,Male,Black,Postgraduate degree (Master's),"£35,000-£49,999"
677c4ec6bf1d6e16cf3d3055,43,Male,Asian,Undergraduate degree,"£25,000-£34,999"
6773db82cbb90220f9271d38,34,Male,Black,Postgraduate degree (Master's),"£50,000-£74,999"
6560ae1c1cc374fa2049dd0c,41,Female,White,Doctorate (PhD),"£25,000-£34,999"
5823c1b185e40e00012f2e68,35,Male,White,Undergraduate degree,"£35,000-£49,999"
65adec5d055bfd35cea2d56f,39,Male,White,Undergraduate degree,"£75,000-£99,999"
5bcedec641f0710001c74dd5,34,Male,White,Vocational qualification,"£35,000-£49,999"
66b73f9ba035651170b94c76,43,Female,White,Vocational qualification,"£15,000-£24,999"
6777f3e9760d3844217b5ea8,18,Female,White,A-levels or equivalent,"£35,000-£49,999"
5bb7b83ab791890001f4fd90,56,Male,White,A-levels or equivalent,"Under £15,000"
62db2644ab0a3a353c0dcb54,44,Male,White,A-levels or equivalent,"£25,000-£34,999"
6711572aa22f0638a3f67bd6,35,Male,Black,Postgraduate degree (Master's),"£25,000-£34,999"
66d31a1b0515fe747830bab9,60,Male,White,Vocational qualification,"£35,000-£49,999"
63c5869714c648472e253347,54,Male,White,GCSEs or equivalent,"Under £15,000"
5ee4aab1232e9d1b4d791bae,45,Male,White,Vocational qualification,"£50,000-£74,999"
5cedaba627d8ce00018469bb,42,Female,White,Postgraduate degree (Master's),"£15,000-£24,999"
56c5c6489b720300057af888,66,Female,White,Undergraduate degree,"Under £15,000"
667428ac955966a0f510b6c5,24,Female,White,Undergraduate degree,"£15,000-£24,999"
63468b5809bf04222262bfed,38,Male,White,Vocational qualification,"£50,000-£74,999"
6023f94d1951e70ae21770ec,37,Male,White,Undergraduate degree,"£15,000-£24,999"
67bcf386583b56fefb549fda,38,Male,White,Undergraduate degree,"Under £15,000"
682ee43d7e01892f0cec3a87,54,Male,White,Undergraduate degree,"£50,000-£74,999"
6048c1da4fb34916883f2e7d,40,Female,Asian,Undergraduate degree,Prefer not to say
5e6e6497d33339419afd90f9,36,Male,White,Undergraduate degree,"£25,000-£34,999"
5775874455fb780001d7f1d5,41,Female,White,Vocational qualification,"£25,000-£34,999"
671c12b7108a7e88aa8706fe,40,Female,Asian,Undergraduate degree,"£15,000-£24,999"
66f3e69d6f8a61df6d80da8a,52,Male,White,GCSEs or equivalent,"£15,000-£24,999"
66c605bf16b21d64057a018b,32,Male,White,A-levels or equivalent,"£50,000-£74,999"
651ac88823e71c05dbc1ff63,56,Male,White,A-levels or equivalent,"£35,000-£49,999"
67772e95dc0fd5aeacefb85d,31,Male,Other,Undergraduate degree,"£35,000-£49,999"
5ddc3d821096eab9b719ca02,29,Male,White,A-levels or equivalent,"Under £15,000"
5ca102f57114700016da340d,75,Male,White,Undergraduate degree,"£15,000-£24,999"
5f6660dbdd831c230e132024,47,Male,White,Vocational qualification,"£35,000-£49,999"
5e766b0ba02ca51dfa1de797,62,Male,White,Postgraduate degree (Master's),"£75,000-£99,999"
5b1966a168a5ed0001735813,62,Male,White,Other,"Under £15,000"
67a5ddf8a1ccb91473e6d8cb,55,Female,Black,Doctorate (PhD),"£75,000-£99,999"
5de7900ceb1b0a6fe754b2c6,42,Male,White,GCSEs or equivalent,"£25,000-£34,999"
6727f8d00615ec9425ff89f5,20,Male,Asian,GCSEs or equivalent,"£25,000-£34,999"
650864268a31fd9d2b8f84ee,63,Male,White,GCSEs or equivalent,"£15,000-£24,999"
66240f6ce1a02cdc40bb666a,42,Female,White,Undergraduate degree,"Under £15,000"
66f46a8682979653eadb837f,64,Male,White,Undergraduate degree,"£35,000-£49,999"
5bc07659b8d38c0001de0516,49,Female,White,GCSEs or equivalent,"£15,000-£24,999"
5ee4c4b42c280d1cd26cfe3d,72,Male,White,Postgraduate degree (Master's),"£50,000-£74,999"
6093e78e30fb90f291b261f9,55,Female,White,Undergraduate degree,"£35,000-£49,999"
6759faea38faca8e359a5f99,19,Female,Black,Undergraduate degree,"£35,000-£49,999"
665905fe269c7299f759eb07,36,Male,White,Postgraduate degree (Master's),"£35,000-£49,999"
668e9165d55b3b68f850838f,36,Male,Asian,Doctorate (PhD),"£35,000-£49,999"
5f84e472052cf81ae5752252,34,Female,White,Postgraduate degree (Master's),"£35,000-£49,999"
67605e6a382a3f0292c2c6c5,26,Female,White,Undergraduate degree,"£15,000-£24,999"
5bb756696322c5000159756c,43,Male,White,Doctorate (PhD),"£35,000-£49,999"
65dc99d0191a135ab835bf69,31,Male,White,Undergraduate degree,"£35,000-£49,999"
5e8b5bd1ac48b2027b9f76e8,26,Female,White,A-levels or equivalent,"Under £15,000"
677379e8550e9edf176e7b80,30,Female,Asian,Postgraduate degree (Master's),"£50,000-£74,999"
67693b69371357770f713607,38,Female,Mixed,Undergraduate degree,"Under £15,000"
6730d9093af730fa8f4abd93,29,Male,White,Postgraduate degree (Master's),"£25,000-£34,999"
5c5898e49fcbc40001dcbc42,63,Male,White,GCSEs or equivalent,"Under £15,000"
677c1cef9a0ae53353c940b0,18,Male,White,Vocational qualification,"Under £15,000"
60a9610cae689e66af400f01,26,Male,Asian,Undergraduate degree,"£50,000-£74,999"
63076cd447ae6e2366804685,66,Male,White,Postgraduate degree (Master's),"£35,000-£49,999"
6708da9c62672d0fe65b6683,49,Female,White,GCSEs or equivalent,"£15,000-£24,999"
5b5f9f40080ab40001fb6eb4,26,Male,White,Postgraduate degree (Master's),"£50,000-£74,999"
669b7e6e0f7f314904e8ecc2,22,Female,White,Undergraduate degree,"£75,000-£99,999"
6765e5d4ee75be7807670beb,24,Female,White,Postgraduate degree (Master's),"Under £15,000"
6786cd2f6379519962f2542c,54,Female,White,Undergraduate degree,"£35,000-£49,999"
6761936cd42ea657c0bce1af,24,Female,White,A-levels or equivalent,Prefer not to say
5ef647ec3ce68a1178780f5a,48,Female,White,A-levels or equivalent,"£35,000-£49,999"
66a79806a27648e44299b153,48,Female,White,Undergraduate degree,"Under £15,000"
